Geneva_Strategy_10_max,0.5145949616780818,0.00011706586125354124,0.027861674978342816,0.4809065580295493
Geneva_Strategy_10_min,0.49295837249843805,0.0,0.022340895291714964,0.5086605686733328
Geneva_Strategy_11_max,0.47633968707386165,0.0,0.018531525836435577,0.5149755103812936
Geneva_Strategy_11_min,0.47692100223677136,0.0,0.0230722525804493,0.5130540376442018
Geneva_Strategy_12_max,0.4824373834737541,0.0,0.019573412001592096,0.5006438622367227
Geneva_Strategy_12_min,0.48385053334167416,0.0,0.0230722525804493,0.5065233409913854
Geneva_Strategy_13_max,0.48386050538259695,0.0,0.020076795204982324,0.5115309873336045
Geneva_Strategy_13_min,0.49182876372440637,0.0,0.02459016393442623,0.5062777223932562
Geneva_Strategy_14_max,0.48981164560105794,0.0005033832033902273,0.02293320221956873,0.5069654187445857
Geneva_Strategy_14_min,0.48758643153642145,0.0016421041011204945,0.029475078655406526,0.5134680134678439
Geneva_Strategy_15_max,0.4848516980195558,0.002446676500199012,0.026269579265294656,0.5113645282040259
Geneva_Strategy_15_min,0.4872925968043843,0.004457139703041343,0.03097919081525639,0.5083871527028562
Geneva_Strategy_16_max,0.48814961498977744,0.00474116738076842,0.028458710870735877,0.5062747301627792
Geneva_Strategy_16_min,0.4898858115519654,0.006885797869404427,0.032993873157807586,0.5058234933162468
Geneva_Strategy_17_max,0.4843200889757511,0.006462035541195477,0.030378590995293952,0.5086651042465216
Geneva_Strategy_17_min,0.49028328069813926,0.007617155158138765,0.03498095711210465,0.5050351812511017
Geneva_Strategy_18_max,0.4834058594509912,0.006462035541195477,0.032064339397344946,0.5060171852684315
Geneva_Strategy_18_min,0.48941413423033836,0.007617155158138765,0.03695424187227466,0.5054975221428406
Geneva_Strategy_19_max,0.4860737754263704,0.006462035541195477,0.03372667462714523,0.5067781133665862
Geneva_Strategy_19_min,0.49181614681137065,0.007617155158138765,0.0389137274383176,0.5052850913506676
Geneva_Strategy_1_max,0.49060810345231276,0.006924819878306474,0.033478449044018435,0.5035260571806818
